DrugName,ChemicalComposition,Description
Acemetacin, C21H18ClNO6,A NSAID indicated in the treatment of pain and inflammation.
Acenocoumarol, C19H15NO6,"An anticoagulant drug used in the prevention of thromboembolic diseases in infarction and transient ischemic attacks, as well as management of deep vein thrombosis and myocardial infarction."
Acetaminophen, C8H9NO2,"An analgesic drug used alone or in combination with opioids for pain management, and as an antipyretic agent."
Acetarsol, C8H10AsNO5,An anti infective used to treat a wide variety of infections in the body.
Acetazolamide, C4H6N4O3S2,"A carbonic anhydrase inhibitor used to treat edema from heart failure or medications, certain types of epilepsy, and glaucoma."
Aluminum zirconium pentachlorohydrex gly,,"Aluminum zirconium pentachlorohydrex gly, or Aluminum Zirconium Tetrachlorohydrex Glycine, is commonly used as an antiperspirant in many deodorant products. It is a coordination complex of Aluminum Zirconium pentachlorohydrate and glycine...."
Aluminum zirconium tetrachlorohydrex gly,,An antiperspirant used to reduce sweating.
Aluminum zirconium trichlorohydrex gly,,Aluminum zirconium trichlorohydrex gly is a common active ingredient in deodorant and antiperspirant products for the over-the-counter use. It is consisted of a mixture of monomeric and polymeric Zr4+ and...
Alverine, C20H27N,"A smooth muscle relaxant used to relieve abdominal pain associated with gastrointestinal conditions like heartburn, flatulence, and Irritable Bowel Syndrome."
Alvimopan, C25H32N2O4,An opioid antagonist used to reduce healing time of the upper and lower gastrointestinal tract following surgical procedures that involve bowel resection with primary anastomosis.
Amantadine, C10H17N,"A medication used to treat dyskinesia in Parkinson's patients receiving levodopa, as well as extrapyramidal side effects of medications."
Ambenonium, C28H42Cl2N4O2,A cholinesterase inhibitor that targets both muscarinic and nicotinic receptors indicated for the treatment of myasthenia gravis.
Ambrisentan, C22H22N2O4,A selective type A endothelin receptor antagonist used to treat primary pulmonary arterial hypertension and pulmonary arterial hypertension based on diagnostic classifications.
Ambroxol, C13H18Br2N2O,A medication indicated for airway secretion clearance therapy.
Amcinonide, C28H35FO7,A topical corticosteroid used in the treatment of inflammation and pruritus due to a variety of dermatoses.
Amifampridine, C5H7N3,A voltage gated potassium channel blocker used to treat Lambert-Eaton myasthenic syndrome.
Amifostine, C5H15N2O3PS,A cytoprotective adjuvant used for reduction in the cumulative renal toxicity in patients with ovarian cancer and moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer.
Amikacin, C22H43N5O13,An aminoglycoside used to treat infections caused by more resistant strains of Gram negative bacteria and some Gram positive bacteria.
Amiloride, C6H8ClN7O,A pyrizine compound used to treat hypertension and congestive heart failure.
Amiloxate, C15H20O3,Indicated as an active sunscreen agent.
Aminobenzoic acid, C7H7NO2,A drug used to reduce the progression of penile deviation in Peyronie's Disease in adults.
Aminocaproic acid, C6H13NO2,An antifibrinolytic agent used to induce clotting postoperatively.
Aminoglutethimide, C13H16N2O2,An adrenocortical steroid synthesis inhibitor used in the treatment of Cushing's syndrome.
Aminohippuric acid, C9H10N2O3,A hippuric acid derivative injection utilized in the measurement of effective renal plasma flow (ERPF) and functional capacity of the renal excretory system.
Aminolevulinic acid, C5H9NO3,"A porphyrin precursor used to treat actinic keratosis of the face, scalp, and upper extremities, as well as to visualize a glioma."
Aminophenazone, C13H17N3O,An analgesic drug used to treat acute migraine attacks in combination with ergotamine and caffeine.
Aminophylline, C16H24N10O4,"A bronchodilator consisting of theophylline that is used for the treatment of bronchospasm due to asthma, emphysema and chronic bronchitis."
Aminosalicylic acid, C7H7NO3,An aminosalicylate drug used to induce remission in ulcerative colitis.
Amiodarone, C25H29I2NO3,A class III antiarrhythmic indicated for the treatment of recurrent hemodynamically unstable ventricular tachycardia and recurrent ventricular fibrillation.
Amisulpride, C17H27N3O4S,"A dopamine D2 receptor antagonist used in the treatment of acute and chronic schizophrenia, and in the prevention and treatment of postoperative nausea and vomiting in adults."
Armodafinil, C15H15NO2S,"A stimulant used to improve wakefulness in adult patients with excessive sleepiness associated with obstructive sleep apnea, narcolepsy, or shift work disorder."
Arsenic trioxide, As2O3,A chemotherapeutic agent used in the treatment of refractory or relapsed acute promyelocytic leukemia in patients with prior retinoid and anthracycline chemotherapy.
Artemether, C16H26O5,An antimalarial agent used in combination with lumefantrine for the treatment of acute uncomplicated malaria caused by Plasmodium falciparum.
Artemotil, C17H28O5,"Artemotil, also known as β-arteether, is a semi-synthetic derivative of artemisinin and a fast acting blood schizonticide specifically indicated for the treatment of chloroquine-resistant Plasmodium falciparum malaria and cerebral malaria..."
Artenimol, C15H24O5,"For the treatment of uncomplicated Plasmodium falciparum infection in adults, children, and infants aged 6 months and up weighing over 5 kg [FDA Label]. Used in combination with DB13941."
Artesunate, C19H28O8,Artesunate is an artemesinin derivative indicated for the initial treatment of severe malaria.
Articaine, C13H20N2O3S,"A local anesthetic used for inducing local, infiltrative, or conductive anesthesia in both simple and complex dental procedures."
Arzoxifene, C28H29NO4S,"Investigated for use/treatment in breast cancer, osteoporosis, and endometrial cancer."
Asciminib, C20H18ClF2N5O3,"An inhibitor of ABL/BCR-ABL1 tyrosine kinase for the treatment of patients with Philadelphia chromosome-positive CML, including those with the T315I mutation."
Ascorbic acid, C6H8O6,A vitamin used to correct vitamin C deficiency and to increase the intestinal absorption of iron.
Ascorbyl phosphate,,Ascorbyl phosphate is a synthetic form of Vitamin C and is found in different salt forms such as magnesium ascorbyl phosphate and sodium ascorbyl phosphate. These salts are present in...
Asenapine, C17H16ClNO,An atypical antipsychotic used to treat patients with bipolar I disorder and patients with schizophrenia.
Asparagine, C4H8N2O3,"Used for nutritional supplementation, also for treating dietary shortage or imbalance."
Aspartic acid, C4H7NO4,An amino acid commonly found as a component in total parenteral nutrition.
Astemizole, C28H31FN4O,A second generation antihistamine used to treat allergy symptoms.
Asunaprevir, C35H46ClN5O9S,An NS3 protease inhibitor used to treat hepatitis C genotype 1b.
Ataluren, C15H9FN2O3,A medication used for the treatment of Duchenne muscular dystrophy.
Atazanavir, C38H52N6O7,An antiviral protease inhibitor used in combination with other antiretrovirals for the treatment of HIV.
Atenolol, C14H22N2O3,"A synthetic beta-1 selective blocker used in the management of hypertension and chronic angina, and to reduce mortality in known or suspected myocardial infarction in hemodynamically stable patients."
Atogepant, C29H23F6N5O3,An oral CGRP antagonist used for the preventative therapy of episodic migraine headaches.
Atomoxetine, C17H21NO,A selective norepinephrine reuptake inhibitor (SNRI) used in the management of Attention Deficit Hyperactivity Disorder (ADHD).
Atorvastatin, C33H35FN2O5,An HMG-CoA reductase inhibitor used to lower lipid levels and reduce the risk of cardiovascular disease including myocardial infarction and stroke.
Atosiban, C43H67N11O12S2,An inhibitor of oxytocin and vasopressin used to delay imminent preterm birth in pregnant adult women displaying specific clinical observations.
Atovaquone, C22H19ClO3,An antimicrobial indicated for the prevention and treatment of Pneumocystis jirovecii pneumonia (PCP) and for the prevention and treatment of Plasmodium falciparum malaria.
Atractylodes japonica root,,
Acetic acid, C2H4O2,An antimicrobial agent used to treat susceptible infections of the external auditory canal.
Acetohexamide, C15H20N2O4S,Used in the management of diabetes mellitus type 2 (adult-onset).
Acetohydroxamic acid, C2H5NO2,A synthetic urea derivative used to treat urea splitting bacterial infections of the urinary tract.
Acetophenazine, C23H29N3O2S,For the treatment of disorganized and psychotic thinking. Also used to help treat false perceptions (e.g. hallucinations or delusions.)
Acetyl sulfisoxazole, C13H15N3O4S,"Acute, recurrent or chronic urinary tract infections (primarily pyelonephritis, pyelitis and cystitis) due to susceptible organisms (usually Escherichia coli, Klebsiella-Enterobacter, staphylococcus, Proteus mirabilis and, less frequently, Proteus vulgaris) in the..."
Acetylcarnitine, C9H17NO4,"An acetylated form of the amino acid derivative L-carnitine that assists in mitochondrial fatty acid metabolism. It is under investigation as a treatment for numerous conditions, including neuropathy, depression, and dementia."
Acetylcholine, C7H16NO2,"A parasympathomimetic neurotransmitter used to induce miosis of the iris in seconds after delivery of the lens in cataract surgery, in penetrating keratoplasty, iridectomy and other anterior segment surgery where rapid miosis may be required."
Acetylcysteine, C5H9NO3S,A medication that can be used as a mucolytic in patients with certain lung conditions and as an antidote for acetaminophen overdose.
Acetyldigitoxin, C43H66O14,Used for fast digitalization in congestive heart failure.
Acetylene, C2H2,A component of a medical gas indicated for lung function testing.
Acetylsalicylic acid, C9H8O4,"A salicylate used to treat pain, fever, inflammation, migraines, and reducing the risk of major adverse cardiovascular events."
Acipimox, C6H6N2O3,A niacin derivative used in Fredrickson type IIb and type IV hyperlipoproteinemia.
Acitretin, C21H26O3,An oral retinoid used in the treatment of severe psoriasis.
Aclidinium, C26H30NO4S2,An inhaled long-acting anticholinergic used as a maintenance bronchodilator in patients with chronic obstructive pulmonary disease (COPD).
Acrivastine, C22H24N2O2,"An antihistamine agent used for the symptomatic relief of seasonal allergic rhinitis such as sneezing, rhinorrhea, pruritus, lacrimation, and nasal congestion."
Activated charcoal, C,A gastric decontamination agent used in emergency clinical settings as a antidote to treat poisonings following excessive oral ingestion of certain medications or poisons.
Acyclovir, C8H11N5O3,"A guanosine analog used to treat herpes simplex, varicella zoster, herpes zoster."
Adagrasib, C32H35ClFN7O2,A KRAS inhibitor indicated for the treatment of locally advanced or metastatic KRAS G12C-mutated non-small cell lung cancer in patients who have received at least one prior systemic therapy.
Adapalene, C28H28O3,"A third-generation topical retinoid with anti-comedogenic, comedolytic, and anti-inflammatory properties used to treat acne vulgaris in adolescents and adults."
Adefovir dipivoxil, C20H32N5O8P,A nucleotide analog used to treat chronic hepatitis B.
Ademetionine, C15H22N6O5S,"S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia, and osteoarthritis. It has also been introduced into the United States market as..."
Adenine, C5H5N5,A purine base which forms a component of DNA among other functions and is present in many multivitamins.
Adenosine, C10H13N5O4,A medication used in myocardial perfusion scintigraphy and to treat supraventricular tachycardia.
Adenosine phosphate, C10H14N5O7P,"For nutritional supplementation, also for treating dietary shortage or imbalance"
Adiphenine, C20H25NO2,
Atracurium,,A neuromuscular blocker indicated to relax muscles during mechanical ventilation under general anesthesia or intubation.
Atracurium besylate, C65H82N2O18S2,A non-depolarizing neuromuscular blocker used to facilitate endotracheal intubation and relax skeletal muscles during surgery.
Atropine, C17H23NO3,"A muscarinic antagonist used to treat poisoning by muscarinic agents, including organophosphates and other drugs."
Attapulgite, AlH9MgO15Si4,A veterinary antidiarrheal agent used to treat non-infectious diarrhea in animals.
Auranofin, C20H34AuO9PS,"An antirheumatic used to treat active, progressive, or destructive forms of inflammatory arthritis."
Aurothioglucose, C6H11AuO5S,A gold compound used in the treatment of rheumatoid arthritis.
Avacopan, C33H35F4N3O2,An orally bioavailable complement 5a receptor (C5aR) antagonist for the treatment of severe anti-neutrophil cytoplasmic (auto)antibody (ANCA)-associated vasculitis.
Avanafil, C23H26ClN7O3,A phosphodiesterase-5 (PDE5) inhibitor used to treat erectile dysfunction.
Avapritinib, C26H27FN10,A selective tyrosine kinase inhibitor being investigated for the treatment of multidrug resistant gastrointestinal tumors.
Avatrombopag, C29H34Cl2N6O3S2,A thrombopoietin receptor agonist used pre-operatively to treat thrombocytopenia in patients with chronic liver disease and in patients with chronic refractory thrombocytopenia.
Avibactam, C7H11N3O6S,"A non-β-lactam β-lactamase inhibitor used in combination with ceftazidime for the treatment of complicated intra-abdominal infections, complicated urinary tract infections, and hospital or ventilator-acquired pneumonia."
Avobenzone, C20H22O3,A sunscreen agent found in sunscreens that absorbs UV rays.
Axitinib, C22H18N4OS,An oral VEGFR and kinase inhibitor used for the treatment of advanced renal cell carcinoma after failure of one prior systemic therapy.
Azacitidine, C8H12N4O5,A pyrimidine nucleoside analogue used to treat certain subtypes of myelodysplastic syndrome.
Azatadine, C20H22N2,An H1 receptor antagonist used to treat perennial and allergic rhinitis as well as eustachian tube congestion.
Azathioprine, C9H7N7O2S,"An immunosuppressant used to prevent renal transplant rejection, treat rheumatoid arthritis, Crohn's disease, and ulcerative colitis."
Azelaic acid, C9H16O4,A saturated dicarboxylic acid used to treat mild to moderate acne vulgaris.
Azelastine, C22H24ClN3O,A histamine H1-receptor antagonist used intranasally to treat allergic and vasomotor rhinitis and in an ophthalmic solution to treat allergic conjunctivitis.
Azilsartan medoxomil, C30H24N4O8,"An angiotensin II receptor blocker used to treat hypertension alone or in combination with other antihypertensive agents, such as chlorthalidone."
Azithromycin, C38H72N2O12,A macrolide antibiotic used to treat a variety of bacterial infections.
Azlocillin, C20H23N5O6S,"For the treatment of infections caused by Pseudomonas aeruginosa, Escherichia coli, and Haemophilus influenzae."
Aztreonam, C13H17N5O8S2,A beta-lactam antibiotic used to treat select aztreonam sensitive gram negative bacteria.
Bacampicillin, C21H27N3O7S,"An ampicillin prodrug used to treat various susceptible bacterial infections in the body, such as respiratory infections and skin and subcutaneous tissue infections."
Bacitracin, C66H103N17O16S,"A cyclic polypeptide antibiotic used to prevent wound infections, treat pneumonia and empyema in infants, and to treat skin and eye infections."
Baclofen, C10H12ClNO2,A GABA-ergic agonist used to manage severe spasticity of cerebral or spinal origin in adult and pediatric patients.
Benzatropine, C21H25NO,"An anticholinergic drug used to treat Parkinson's disease (PD) and extrapyramidal symptoms, except tardive dyskinesia."
Benzethonium, C27H42NO2,A medication used as to clean hands and clean minor cuts and scrapes.
Benzhydrocodone, C25H25NO4,"Benzyhydrocodone is indicated, in combination with acetaminophen, for the short-term management of acute pain requiring opioid therapy."
Benziodarone, C17H12I2O3,Benziodarone is a uricostatic and a uricosuric agent which is sold also under the name Amplivex-Labaz. It is used in the treatment of gout . It was withdrawn from France...
Benznidazole, C12H12N4O3,A trypanocidal agent used to treat Chagas disease.
Benzocaine, C9H11NO2,"A topical local anesthetic used for the temporary relief of pain and itching associated with minor burns, sunburn, scrapes and insect bites or minor skin irritations."
Benzoic acid, C7H6O2,An antimicrobial food additive.
Benzoin, C14H12O2,No approved therapeutic indications.
Benzonatate, C30H53NO11,A non-narcotic oral antitussive drug used to suppress coughing.
Benzoyl peroxide, C14H10O4,An antibacterial and anti-inflammatory agent used for the symptomatic treatment of mild to moderate acne vulgaris and rosacea.
Benzphetamine, C17H21N,A sympathomimetic used to manage exogenous obesity short term.
Benzthiazide, C15H14ClN3O4S3,For the treatment of high blood pressure and management of edema.
Benzydamine, C19H23N3O,A locally-acting NSAID indicated for the symptomatic relief of pain in acute sore throat and for the symptomatic relief of oropharyngeal mucositis caused by radiation therapy.
Benzyl alcohol, C7H8O,An antiparasitic agent used for the topical treatment of head lice infestation in patients 6 months of age and older.
Benzyl benzoate, C14H12O2,A topical treatment for scabies and lice.
Benzylparaben, C14H12O3,Benzylparaben is used in allergenic testing.
Benzylpenicillin, C16H18N2O4S,"A penicillin used for the treatment of infections caused by gram-positive cocci, in particular streptococcal infections. This form of penicillin is typically used in intravenous or long-acting injectable formulations due to poor oral absorption."
Benzylpenicilloyl polylysine, C28H46N6O8S,A penicillin derivative used to determine penicillin allergies.
Bepotastine, C21H25ClN2O3,An ophthalmic H1 antagonist used to treat itchiness associated with allergic conjunctivitis.
Bepridil, C24H34N2O,"For the treatment of hypertension, and chronic stable angina (classic effort-associated angina)."
Berberine, C20H18NO4,"An alkaloid from Hydrastis canadensis L., Berberidaceae. It is also found in many other plants. It is relatively toxic parenterally, but has been used orally for various parasitic and fungal..."
Berdazimer,,A nitric oxide (NO)-releasing agent used to treat topical molluscum contagiosum.
Berotralstat, C30H26F4N6O,An inhibitor of plasma kallikrein used for prophylaxis of angioedema attacks in patients with hereditary angioedema.
Besifloxacin, C19H21ClFN3O3,A fluoroquinolone antibiotic agent used for the treatment of bacterial conjunctivitis.
Beta carotene, C40H56,A vitamin A precursor found in various nutritional supplements and health products.
Almotriptan, C17H25N3O2S,A 5-HT1B/1D receptor agonist used to treat migraines.
Alogliptin, C18H21N5O2,A dipeptidyl peptidase-4 (DPP-4) inhibitor used to treat hyperglycemia in patients with type 2 diabetes mellitus.
Alosetron, C17H18N4O,A 5-HT3 antagonist used to treat diarrhea-predominant IBS.
Alpelisib, C19H22F3N5O2S,"Alpelisib is indicated in combination with fulvestrant to treat postmenopausal women, and men, with advanced or metastatic breast cancer. This cancer must be hormone receptor (HR)-positive, human epidermal growth factor..."
alpha-Amyl cinnamaldehyde, C14H18O,alpha-Amyl cinnamaldehyde is used in allergenic testing.
alpha-Arbutin, C12H16O7,
alpha-Linolenic acid, C18H30O2,A polyunsaturated omega-3 fatty acid found in many supplements.
alpha-Tocopherol acetate,,A form of vitamin E used to treat and prevent vitamin deficiencies.
alpha-Tocopherol succinate, C33H54O5,A form of vitamin E used to treat and prevent vitamin deficiencies.
Alprazolam, C17H13ClN4,A triazolobenzodiazepine with intermediate onset commonly used to treat panic disorders and generalized anxiety in addition to anxiety associated with depression.
Alprostadil, C20H34O5,A prostaglandin E1 agonist used for the treatment of erectile dysfunction and as an adjunct for its diagnosis.
Altretamine, C9H18N6,An antineoplastic agent used in palliative treatment of persistent or recurrent ovarian cancer.
Aluminium, Al,"A metallic element that has the atomic number 13, atomic symbol Al, and atomic weight 26.98."
Aluminium phosphate, AlO4P,
Aluminum acetate, C6H9AlO6,A medication used for temporary relief of skin irritation.
Aluminum chloride, AlCl3,"Indicated for the control of minor hemorrhage during dental restorative procedures.
Indicated to reduce underarm perspiration."
Aluminum chlorohydrate, Al2ClH7O6,A compound used as an antiperspirant.
Aluminum chlorohydrex propylene glycol,,Aluminum chlorohydrex propylene glycol is a complex consisting of Aluminum Chorohydrate and propylene glycol (PG). It is an antiperspirant active ingredient found in antiperspirant drug products for over-the-counter human use.
Aluminum hydroxide, AlH3O3,"An antacid used for the symptomatic relief of heartburn, acid indigestion, and sour stomach."
Aluminum oxide, Al2O3,"Aluminum oxide has a chemical formula Al2O3. It is amphoteric in nature, and is used in various chemical, industrial and commercial applications. It is considered an indirect additive used in..."
Aluminum sesquichlorohydrate,,An antiperspirant used to reduce sweating.
Aluminum subacetate, C4H7AlO5,A medication used to prevent infection and treat irritation around the rectum.
Aluminum sulfate, Al2O12S3,A medication used to prevent infections and to treat minor bleeding.
Aluminum zirconium octachlorohydrex gly, C2H8AlClNO4Zr,An antiperspirant used to reduce sweating.
Aluminum zirconium pentachlorohydrate,,Aluminum zirconium pentachlorohydrate is a common active ingredient in personal care products as an antiperspirant agent. Its main mechanism of action is through blocking the pores via formation of polymer...
Brilliant green cation, C27H33N2,An ingredient used in topical medications to prevent infections of the umbilical cord.
Brimonidine, C11H10BrN5,"An alpha-2 adrenergic agonist used to treat glaucoma and ocular hypertension, as well as facial erythema in rosacea."
Brincidofovir, C27H52N3O7P,An oral lipid prodrug of cidofovir used in the treatment of human smallpox disease.
Brinzolamide, C12H21N3O5S3,A carbonic anhydrase inhibitor used for the reduction of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.
Brivaracetam, C11H20N2O2,An anticonvulsant used for the treatment of partial-onset seizures that functions by binding to synaptic vesicle glycoprotein 2A (SV2A) in the brain.
Brivudine, C11H13BrN2O5,A drug used to treat herpes zoster.
Bromazepam, C14H10BrN3O,A short-acting benzodiazepine with intermediate onset commonly used to treat panic disorders and severe anxiety.
Bromfenac, C15H12BrNO3,An NSAID used to treat postoperative pain and inflammation of the eye.
Bromhexine, C14H20Br2N2,"A mucolytic drug used to decrease the viscosity of mucus in the airway, enhancing mucus clearance."
Bromocriptine, C32H40BrN5O5,"A dopamine D2 receptor agonist used for the treatment of galactorrhea due to hyperprolactinemia and other prolactin-related conditions, as well as in early Parkinsonian Syndrome."
Bromodiphenhydramine, C17H20BrNO,"For management of symptoms related to hay fever and other types of allergy and used to help bring up phlegm, thin secretions, and make a cough productive."
Bromothalonil, C6H6Br2N2,Bromothalonil is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6 years...
Bromotheophylline, C7H7BrN4O2,"Bromotheophylline is used as a diuretic and also, in combination with DB00316, it is used for the relief of temporary water weight gain, bloating, swelling and full feeling associated with..."
Bromperidol, C21H23BrFNO2,A first-generation butyrophenone antipsychotic used in the treatment of schizophrenia and other psychotic manifestations.
Brompheniramine, C16H19BrN2,"A histamine H1 antagonist used to treat coughs, upper respiratory symptoms, and nasal congestion associated with allergies and the common cold."
Bronopol, C3H6BrNO4,An antimicrobial compound used as a biocide and preservative.
Brown iron oxide,,
Bucetin, C12H17NO3,Bucetin is an analgesic and antipyretic medication which was approved for use in Germany but was withdrawn from the market in 1986 due to renal toxicity caused by the medication.
Buclizine, C28H33ClN2,An antihistamine and antiemetic drug for the treatment of allergy symptoms and prevention of nausea and vomiting.
Budesonide, C25H34O6,"A corticosteroid used to treat Crohn's disease, asthma, COPD, hay fever and allergies, and ulcerative colitis."
Bufexamac, C12H17NO3,An NSAID used to treat skin conditions like atopic eczema and inflammatory dermatoses.
Bumadizone, C19H22N2O3,"Bumadizone has been approved for use in Germany and Austria, it is a drug with anti-inflammatory, antipyretic, and analgesic properties, and was marketed for the treatment of both rheumatoid arthritis..."
Bumetanide, C17H20N2O5S,"A sulfamyl diuretic used to treat edema in congestive heart failure, hepatic and renal disease, and nephrotic syndrome."
Bupivacaine, C18H28N2O,A local anesthetic used in a wide variety of superficial and invasive procedures.
Buprenorphine, C29H41NO4,A partial opioid agonist used for management of severe pain that is not responsive to alternative treatments. Also used for maintenance treatment of opioid addiction.
Anethole, C10H12O,An excipient added to medications for flavouring.
Anethole trithione, C10H8OS3,A medication used to treat dry mouth associated with medication or radiotherapy of the head and neck.
Anidulafungin, C58H73N7O17,An antifungal used in the treatment of several types of candida infections.
Anileridine, C22H28N2O2,An opioid analgesic used to treat moderate to severe pain.
Anisindione, C16H12O3,"For the prophylaxis and treatment of venous thrombosis and its extension, the treatment of atrial fibrillation with embolization, the prophylaxis and treatment of pulmonary embolism, and as an adjunct in..."
Anisotropine methylbromide, C17H32BrNO2,"For use in conjunction with antacids or histamine H2-receptor antagonists in the treatment of peptic ulcer, to reduce further gastric acid secretion and delay gastric emptying."
Antazoline, C17H19N3,An antihistamine agent used for the symptomatic treatment of nasal congestion and allergic conjunctivitis.
Anthralin, C14H10O3,An anthracene used to treat stable plaque psoriasis.
Antipyrine, C11H12N2O,"An antipyretic agent used for the symptomatic treatment of acute otitis media, most commonly in combination with benzocaine."
Antrafenine, C30H26F6N4O2,Antrafenine is used as an anti-inflammatory and analgesic agent for the relief of mild to moderate pain.
Apalutamide, C21H15F4N5O2S,An androgen receptor inhibitor used to treat non-metastatic castration-resistant and metastatic castration-sensitive prostate cancer.
Apixaban, C25H25N5O4,"An anticoagulant used for the prophylaxis of stroke and systemic embolism in nonvalvular atrial fibrillation, and deep vein thrombosis(DVT) leading to pulmonary embolism(PE), including in patients after a hip or knee replacement surgery."
Apomorphine, C17H17NO2,"A morphine derivative D2 dopamine agonist used to treat hypomobile ""off"" episodes of advanced Parkinson's disease."
Apraclonidine, C9H10Cl2N4,An alpha adrenergic agonist used to treat raised intraocular pressure.
Apremilast, C22H24N2O7S,A non-steroidal medication used for the treatment of inflammatory conditions such as psoriasis and psoriatic arthritis.
Aprepitant, C23H21F7N4O3,A substance P/neurokinin 1 receptor antagonist used to treat nausea and vomiting caused by chemotherapy and surgery.
Aprocitentan, C16H14Br2N6O4S,An endothelin receptor antagonist used for the treatment of uncontrolled hypertension in patients inadequately controlled on other treatments.
Apronalide, C9H16N2O2,Apronalide is approved in Japan. Apronalide has been withdrawn from the market in many other countries due to patient development of thrombocytopenic purpura .
Arbutamine, C18H23NO4,"Used to elicit acute cardiovascular responses (cardiac stumulant), similar to those produced by exercise, in order to aid in diagnosing the presence or absence of coronary artery disease (CAD) in..."
Arbutin, C12H16O7,"Indicated for over-the-counter use for epidermal hyperpigmentation in various skin conditions, such as melasma, freckles, and senile lentigines."
Ardeparin,,"For prevention of deep vein thrombosis, which may result in pulmonary embolism, following knee surgery."
Arformoterol, C19H24N2O4,"A beta-2 adrenergic agonist and bronchodilator used for long-term, symptomatic treatment of reversible bronchoconstriction in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema."
Argatroban, C23H36N6O5S,A synthetic direct thrombin inhibitor used for the prevention and treatment of thrombosis related to heparin use.
Aripiprazole, C23H27Cl2N3O2,"An atypical antipsychotic used in the treatment of a wide variety of mood and psychotic disorders, such as schizophrenia, bipolar I, major depressive disorder, irritability associated with autism, and Tourette's syndrome."
Aripiprazole lauroxil, C36H51Cl2N3O4,An antipsychotic used to treat schizophrenia in adults.
Birch bark extract,,A herbal medicinal product used to treat partial thickness wounds.
Bisacodyl, C22H19NO4,A stimulant laxative used for the temporary relief of occasional constipation and cleansing of the colon as a preparation for colonoscopy in adults.
Bismuth subcitrate potassium, C12H8BiK5O14,A colloid used for the treatment of peptic ulcer and gastro-esophageal reflux disease (GERD).
Bismuth subgallate, C7H5BiO6,A medication used to deodorize flatulence and stools as well as hemostasis in soft tissue surgery.
Bismuth subnitrate, Bi5H9N4O22,A medication used as an antacid.
Bismuth subsalicylate, C7H5BiO4,"An antidiarrheal and anti-inflammatory agent used for symptomatic treatment of nausea, indigestion, upset stomach, diarrhea, and other temporary discomforts of the stomach and gastrointestinal tract."
Bisoctrizole, C41H50N6O2,An absorber of UVA and UVB radiation used in sunscreen.
